insipid "dull"
misanthrope "person who hates people"
onerous "troublesome"
commensurate "proportionally equal"
emollient "make less intense"
obstinate "not easy to get rid of"
stipulate "to specify as requirement"
mendacity "a lie"
approbation "a praise"
obdurate "resistant to persuasion/softening"
exigency "the necessary materials for something"
paragon "role model of perfection"
doctrinaire "person who is an impractical theorist"
inundate "to overflow"
predilection "a preference"
insensible "imperceptible, gradual"
reprobate "to condemn as evil"
assuage "to lessen the intesity"
prevaricate "to deviate from truth"
incipient "beginning to come into being"
foment "to promote the growth of"
penury "severe poverty"
capricious "acting impulsively, unpredictably"
felicitous "well suited, pleasant"
assiduous "constant, diligent"
